Model,MAE,RMSE,MAPE,R2_Score,Directional_Accuracy
ARIMA_Validation,8761.111111111111,10659.005222502396,6.739653995157538,-0.013402071331038101,41.17647058823529
SARIMA_Validation,4949.424004120865,5869.984311098295,3.777934376876943,0.6926577130013101,82.35294117647058
SARIMAX_Validation,4813.691267689322,5702.146611566737,3.6271132608912904,0.7099818374286425,88.23529411764706
ARIMA_Test,15055.4,17174.748097133768,10.183441149587205,-2.4902506373390283,52.63157894736842
SARIMA_Test,6215.45960384168,7024.210127300591,4.372942271158303,0.4161909097392108,73.68421052631578
SARIMAX_Test,13443.737198176565,16628.947568321597,9.693714095485676,-2.271940451992427,78.94736842105263
